Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kyrgyz Republic,KGZ,5258.36669631142
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lao PDR,LAO,7886.65281419668
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Latvia,LVA,31012.135102478
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lebanon,LBN,14493.3723724418
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lesotho,LSO,2656.11585507471
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Liberia,LBR,1469.76395912306
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Libya,LBY,21842.6192547681
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lithuania,LTU,37166.2100814318
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Luxembourg,LUX,116518.276815474
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Macao SAR, China",MAC,127272.548511029
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Madagascar,MDG,1618.53256054566
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Malawi,MWI,1537.14117694567
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Malaysia,MYS,28421.4624813904
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Maldives,MDV,19510.49184133
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mali,MLI,2321.70219911325
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Malta,MLT,45396.7322859836
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,4048.0887145386
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mauritania,MRT,5343.99792146683
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mauritius,MUS,22869.7563111234
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mexico,MEX,19675.4406708213
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Micronesia, Fed. Sts.",FSM,3465.11998103907
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Moldova,MDA,13026.5159694217
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Monaco,MCO,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mongolia,MNG,12486.077460816
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Montenegro,MNE,21533.9320909217
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Morocco,MAR,7546.7548828125
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mozambique,MOZ,1281.78001360291
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Myanmar,MMR,4739.71043843018
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Namibia,NAM,9809.21848164011
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Nauru,NRU,13525.7728498204
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Nepal,NPL,3952.76034924449
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Netherlands,NLD,56784.0372529824
